Food Name,Category,Veg/Non-Veg,Food Type,Tags,Calories (kcal),Protein (g),Carbs (g),Fat (g)
Palak Paneer - Region 16,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 16,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 16,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 16,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 16,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 16,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 16,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 16,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 16,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 16,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 17,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 17,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 17,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 17,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 17,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 17,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 17,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 17,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 17,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 17,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 17,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 17,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 17,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 17,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 17,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 17,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 17,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 17,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 17,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 18,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 18,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 18,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 18,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 18,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 18,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 18,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 18,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 18,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 18,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 18,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 18,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 18,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 18,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 18,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 18,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 18,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 18,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 18,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 19,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 19,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 19,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 19,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 19,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 19,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 19,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 19,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 19,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 19,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 19,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 19,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 19,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 19,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 19,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 19,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 19,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 19,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 19,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 20,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 20,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 20,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 20,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 20,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 20,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 20,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 20,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 20,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 20,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 20,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 20,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 20,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 20,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 20,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 20,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 20,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 20,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 20,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 21,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 21,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 21,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 21,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 21,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 21,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 21,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 21,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 21,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 21,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 21,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 21,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 21,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 21,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 21,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 21,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 21,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 21,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 21,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 22,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 22,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 22,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 22,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 22,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 22,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 22,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 22,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 22,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 22,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 22,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 22,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 22,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 22,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 22,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 22,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 22,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 22,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 22,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 23,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 23,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 23,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 23,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 23,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 23,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 23,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 23,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 23,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 23,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 23,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 23,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 23,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 23,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 23,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 23,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 23,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 23,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 23,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 24,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 24,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 24,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 24,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 24,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 24,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 24,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 24,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 24,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 24,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 24,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 24,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 24,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 24,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 24,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 24,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 24,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 24,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 24,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 25,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 25,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 25,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 25,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 25,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 25,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 25,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 25,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 25,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 25,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 25,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 25,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 25,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 25,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 25,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 25,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 25,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 25,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 25,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 26,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 26,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 26,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 26,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 26,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 26,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 26,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 26,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 26,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 26,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 26,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 26,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 26,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 26,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 26,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 26,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 26,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 26,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 26,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 27,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 27,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 27,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 27,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 27,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 27,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 27,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 27,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 27,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 27,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 27,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 27,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 27,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 27,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 27,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 27,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 27,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 27,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 27,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 28,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 28,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 28,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 28,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 28,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 28,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 28,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 28,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 28,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 28,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 28,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 28,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 28,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 28,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 28,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 28,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 28,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 28,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 28,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 29,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 29,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 29,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 29,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 29,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 29,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 29,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 29,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 29,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 29,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 29,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 29,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 29,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 29,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 29,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 29,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 29,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 29,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 29,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 30,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 30,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 30,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 30,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 30,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 30,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 30,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 30,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 30,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 30,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 30,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 30,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 30,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 30,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 30,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 30,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 30,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 30,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 30,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 31,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 31,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 31,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 31,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 31,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 31,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 31,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 31,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 31,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 31,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 31,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 31,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 31,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 31,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 31,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 31,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 31,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 31,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 31,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 32,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
